UF,GO
Cidade,NIQUELANDIA
Nome Posto,MOQUEM - FAZENDA VAU DA ONCA
Latitude,-14.54888888888889
Longitude,-48.165277777777774
Codigo,1448004
Qtd. Anos,36
Ano,Maxima
1984,41.4
1985,150.9
1986,73.8
1987,65.6
1988,143.2
1989,154
1990,87
1991,129.3
1992,77.9
1993,70.3
1994,76.7
1995,70
1996,53
1997,124
1998,87
1999,93.5
2000,134
2001,85
2002,139
2003,99
2004,125
2005,103
2006,60
2007,91
2008,93
2009,98
2010,263.2
2011,96.2
2012,76.2
2013,78.5
2014,81.5
2015,51
2016,135.1
2017,94.1
2018,125.5
2019,59.9
