UF,GO
Cidade,ARAGOIANIA
Nome Posto,ARAGOIANIA
Latitude,-16.911944444444444
Longitude,-49.452222222222225
Codigo,1649001
Qtd. Anos,47
Ano,Maxima
1973,47
1974,70
1975,65.3
1976,67
1977,75
1978,97
1979,90.3
1980,76
1981,65
1982,64.3
1983,93
1984,59.3
1985,96
1986,85.4
1987,107.1
1988,90.2
1989,70.2
1990,53.2
1991,85
1992,80.6
1993,70.2
1994,82.4
1995,70.4
1996,99.4
1997,93.2
1998,70.8
1999,98.5
2000,89.6
2001,67.6
2002,70.3
2003,68.9
2004,53.3
2005,744.1
2006,73.7
2007,58
2008,130.1
2009,86.3
2010,83.5
2011,155.5
2012,83
2013,100.2
2014,98.5
2015,56.5
2016,60
2017,83.8
2018,104
2019,63.3
