UF,GO
Cidade,GOIANAPOLIS
Nome Posto,GOIANAPOLIS
Latitude,-16.51638888888889
Longitude,-49.02027777777778
Codigo,1649004
Qtd. Anos,47
Ano,Maxima
1973,75
1974,44
1975,73
1976,62
1977,60
1978,72
1979,67
1980,45
1981,88
1982,75.2
1983,70
1984,113.4
1985,80.4
1986,90
1987,109
1988,65
1989,45
1990,8.5
1991,130
1992,35.2
1993,60.5
1994,100.7
1995,66.4
1996,69.7
1997,55.6
1998,125.3
1999,76.4
2000,64.5
2001,97.4
2002,62.8
2003,56.4
2004,96.9
2005,79.9
2006,92.9
2007,85.4
2008,78.5
2009,86.5
2010,79.9
2011,69.6
2012,84.2
2013,98.8
2014,70.4
2015,118.9
2016,105.1
2017,70
2018,92.1
2019,72.7
