UF,GO
Cidade,NOVA CRIXAS
Nome Posto,GOVERNADOR LEONINO
Latitude,-14.097222222222223
Longitude,-50.33277777777778
Codigo,1450002
Qtd. Anos,45
Ano,Maxima
1976,70
1977,92
1978,100
1979,75
1980,109
1981,72
1982,102
1983,100
1984,57
1985,59.4
1986,113.2
1987,201
1988,65
1989,74
1990,94
1991,85
1992,122.4
1993,51.2
1994,89.4
1995,112.4
1996,112.2
1997,85.5
1998,52.9
1999,75.7
2000,46.8
2001,82.6
2002,67.6
2003,66.7
2004,138.6
2005,108.9
2006,82.5
2007,129
2008,53.3
2009,60.9
2010,82.3
2011,94.2
2012,83.5
2013,102.2
2014,88.5
2015,39.6
2016,108.1
2017,81.5
2018,61.8
2019,113.5
2020,40
