UF,GO
Cidade,SANTA FE DE GOIAS
Nome Posto,SANTA FE
Latitude,-15.767222222222223
Longitude,-51.10444444444445
Codigo,1551003
Qtd. Anos,47
Ano,Maxima
1973,134
1974,210.4
1975,71.1
1976,97.3
1977,109.3
1978,64.3
1979,89
1980,225.4
1981,118
1982,125
1983,84
1984,150.7
1985,125.4
1986,84.5
1987,56
1988,69.3
1989,63.6
1990,65.9
1991,55.5
1992,57.5
1993,93.7
1994,67.4
1995,72.3
1996,83.2
1997,89.5
1998,72.8
1999,137
2000,79.4
2001,69
2002,130.5
2003,88.4
2004,92.4
2005,89.2
2006,68.4
2007,73.5
2008,71.6
2009,98.7
2010,115.7
2011,148.7
2012,52.7
2013,92.9
2014,144.7
2015,105.9
2016,133.7
2017,88.3
2018,67.1
2019,85.5
