UF,GO
Cidade,OURO VERDE DE GOIAS
Nome Posto,OURO VERDE DE GOIAS
Latitude,-16.21861111111111
Longitude,-49.19777777777777
Codigo,1649009
Qtd. Anos,47
Ano,Maxima
1973,102
1974,60.6
1975,75.4
1976,101.4
1977,85.2
1978,81.1
1979,65
1980,122
1981,120
1982,98.3
1983,133
1984,70.5
1985,71
1986,63.8
1987,80.6
1988,65
1989,80.8
1990,52
1991,46
1992,86
1993,73.2
1994,84
1995,100
1996,69
1997,60
1998,108
1999,56.4
2000,68.4
2001,62.2
2002,78
2003,55.5
2004,67.5
2005,98
2006,85.7
2007,46.5
2008,97.6
2009,85
2010,90.1
2011,98.7
2012,90.3
2013,83.3
2014,170
2015,96.3
2016,80
2017,72.5
2018,72.4
2019,45.7
