UF,GO
Cidade,SERRANOPOLIS
Nome Posto,SERRANOPOLIS
Latitude,-18.304444444444446
Longitude,-51.96222222222222
Codigo,1851005
Qtd. Anos,38
Ano,Maxima
1983,82
1984,61.6
1985,93.8
1986,142.2
1987,120
1988,91
1989,116.7
1990,112.6
1991,103
1992,114.2
1993,105
1994,96
1995,84.6
1996,95
1997,83.3
1998,60
1999,65.9
2000,80
2001,55
2002,100
2003,70.1
2004,68.2
2005,90.7
2006,148
2007,67.8
2008,146.1
2009,103.5
2010,138.2
2011,108.5
2012,88.1
2013,92.1
2014,98.1
2015,71.7
2016,140
2017,80
2018,122.3
2019,60
2020,38
