UF,GO
Cidade,NOVA CRIXAS
Nome Posto,LAGOA DA FLECHA
Latitude,-14.332777777777778
Longitude,-50.73027777777778
Codigo,1450000
Qtd. Anos,47
Ano,Maxima
1973,68
1974,117.4
1975,87.2
1976,73.6
1977,100.2
1978,63
1979,87.4
1980,100.6
1981,118.6
1982,107.8
1983,102.8
1984,58.9
1985,110.8
1986,59.4
1987,108.2
1988,56.9
1989,98.5
1990,95.8
1991,92.6
1992,82.7
1993,55
1994,94.6
1995,48.2
1996,81.5
1997,92.5
1998,115.6
1999,86.9
2000,119.1
2001,76.7
2002,82.6
2003,63.5
2004,91
2005,60.6
2006,98.8
2007,67.3
2008,77.8
2009,57.2
2010,119.1
2011,67
2012,47.9
2013,76
2014,79.4
2015,74.7
2016,82.8
2017,77.1
2018,104.9
2019,102.7
