UF,GO
Cidade,SAO DOMINGOS
Nome Posto,SAO VICENTE
Latitude,-13.550833333333333
Longitude,-46.467222222222226
Codigo,1346005
Qtd. Anos,45
Ano,Maxima
1974,62
1975,86
1976,50.6
1977,50.4
1978,77.8
1979,120
1980,203.2
1981,67.2
1982,57.4
1983,52
1984,35.4
1985,78
1986,50
1987,86
1988,80.8
1989,80.8
1990,33.5
1991,48
1992,100
1993,80
1994,58.2
1995,77
1996,38.2
1997,74
1998,76.9
1999,77.5
2000,40.2
2001,51.3
2002,49.4
2003,56.4
2004,111.4
2005,69.2
2006,70.4
2008,44.8
2009,56.1
2010,73.3
2011,84.2
2012,187.8
2013,37.2
2014,64
2015,54.2
2016,42
2017,140
2018,89.2
2019,70.8
