UF,GO
Cidade,SITIO D'ABADIA
Nome Posto,SITIO D'ABADIA
Latitude,-14.80388888888889
Longitude,-46.25333333333333
Codigo,1446004
Qtd. Anos,36
Ano,Maxima
1984,103.6
1985,86.8
1986,97.1
1987,63
1988,63.2
1989,87.1
1990,74.9
1991,125.5
1992,100.9
1993,50
1994,50.2
1995,35.4
1996,57
1997,61
1998,120
1999,78.7
2000,75.6
2001,105.3
2002,86.5
2003,76.7
2004,72.5
2005,64.7
2006,97.5
2007,42.7
2008,122.1
2009,64.1
2010,63.1
2011,74.9
2012,68.3
2013,64.7
2014,87
2015,94.3
2016,73.3
2017,57
2018,99.5
2019,71.7
