UF,GO
Cidade,MINEIROS
Nome Posto,FAZENDA SAO BERNARDO
Latitude,-17.68888888888889
Longitude,-52.983333333333334
Codigo,1752002
Qtd. Anos,53
Ano,Maxima
1965,35
1969,84.4
1970,85.4
1971,60.6
1972,62.1
1973,94.2
1974,94.8
1975,94.8
1976,80.6
1977,52.6
1978,100
1979,52
1980,113
1981,135.2
1982,99.4
1983,72.8
1984,67.2
1985,104
1986,126.2
1987,91.6
1988,85.2
1989,65.4
1990,65.4
1991,70
1992,76
1993,84.4
1994,86.8
1995,79.9
1996,109.8
1997,104.2
1998,98.1
1999,87.7
2000,92.3
2001,93.1
2002,58.8
2003,141.4
2004,391
2005,83.7
2006,85.8
2007,45.3
2008,86.9
2009,110.9
2010,73.9
2011,56.5
2012,45.5
2013,79.2
2014,88.8
2015,66.9
2016,93.7
2017,86.8
2018,39.8
2019,80.1
2020,55
