UF,GO
Cidade,MIMOSO DE GOIAS
Nome Posto,MIMOSO
Latitude,-15.063055555555556
Longitude,-48.16638888888889
Codigo,1548001
Qtd. Anos,47
Ano,Maxima
1973,51
1974,64.2
1975,59
1976,65
1977,53.2
1978,115
1979,90.2
1980,97.2
1981,58.8
1982,79.4
1983,56.2
1984,60
1985,101.8
1986,70
1987,47.5
1988,123
1989,67
1990,52
1991,75
1992,58
1993,80
1994,60
1995,50
1996,52
1997,61
1998,135.6
1999,47.2
2000,54.8
2001,72.8
2002,75.6
2003,37.2
2004,48.2
2005,55
2006,74.4
2007,65.3
2008,71.4
2009,90.7
2010,92.7
2011,88
2012,77
2013,50.5
2014,97.5
2015,124
2016,67.5
2017,60.7
2018,64.2
2019,68.7
