UF,GO
Cidade,TERESINA DE GOIAS
Nome Posto,PONTE PARANA
Latitude,-13.425277777777778
Longitude,-47.13916666666667
Codigo,1347001
Qtd. Anos,51
Ano,Maxima
1969,66.8
1970,90.4
1971,82
1972,111.2
1973,54.8
1974,74
1975,73.8
1976,66.4
1977,76.8
1978,81.2
1979,75
1980,100
1981,45.8
1982,74.8
1983,76.1
1984,83.4
1985,69.4
1986,45.6
1987,85.4
1988,64.8
1989,118.6
1990,49.8
1991,60.3
1992,94.4
1993,71.8
1994,54.8
1995,71.2
1996,48.8
1997,72
1998,49.8
1999,67.2
2000,58.2
2001,59
2002,58.2
2003,82.6
2004,95.4
2005,92.2
2006,49.4
2007,83.6
2008,59.5
2009,63.2
2010,99.4
2011,72.4
2012,104.8
2013,93.2
2014,74.2
2015,54.9
2016,99.2
2017,102.2
2018,66.2
2019,84.8
