UF,GO
Cidade,NOVA ROMA
Nome Posto,NOVA ROMA (FAZ.SUCURI)
Latitude,-13.7425
Longitude,-46.8775
Codigo,1346001
Qtd. Anos,52
Ano,Maxima
1969,112.4
1970,63.2
1971,71.1
1972,49
1973,75.2
1974,63
1975,60
1976,75
1977,69.2
1978,62
1979,89.2
1980,81.2
1981,83
1982,94
1983,64
1984,42
1985,105
1986,56
1987,120
1988,80
1989,92.1
1990,69.4
1991,55.6
1992,141
1993,80.3
1994,59.9
1995,48.7
1996,44.8
1997,64.6
1998,83.7
1999,78.6
2000,99.9
2001,75.4
2002,65.5
2003,95
2004,77
2005,115
2006,68
2007,39.7
2008,88
2009,56.8
2010,80.6
2011,86.9
2012,63.3
2013,68.1
2014,62.6
2015,65.7
2016,74.2
2017,142.6
2018,66.2
2019,40.9
2020,40.6
