UF,GO
Cidade,APORE
Nome Posto,APORE
Latitude,-18.96611111111111
Longitude,-51.92666666666666
Codigo,1852000
Qtd. Anos,49
Ano,Maxima
1972,87.3
1973,95
1974,75.6
1975,62.2
1976,66
1977,55
1978,70.1
1979,62.3
1980,120
1981,72
1982,123
1983,240.3
1984,123
1985,82.8
1986,100
1987,127.6
1988,82.6
1989,75.8
1990,52
1991,72.2
1992,92.2
1993,61.2
1994,94
1995,78.3
1996,84
1997,90.2
1998,69.3
1999,94.3
2000,85.2
2001,41.3
2002,90.2
2003,73.1
2004,90
2005,76
2006,114
2007,80
2008,79.4
2009,93.3
2010,99.3
2011,71.5
2012,58.7
2013,75
2014,115.5
2015,79
2016,73.5
2017,122.3
2018,67.1
2019,111.2
2020,39.5
