UF,GO
Cidade,SAO MIGUEL DO ARAGUAIA
Nome Posto,SAO MIGUEL DO ARAGUAIA
Latitude,-13.32861111111111
Longitude,-50.19944444444444
Codigo,1350002
Qtd. Anos,48
Ano,Maxima
1973,85.2
1974,90
1975,64.2
1976,80.1
1977,92
1978,94.2
1979,99
1980,101.1
1981,59
1982,103.4
1983,118.3
1984,83.2
1985,89
1986,103.3
1987,80.3
1988,110.3
1989,97
1990,75
1991,88
1992,78.2
1993,100
1994,84.3
1995,68.2
1996,78.2
1997,120
1998,61.2
1999,90.2
2000,69.6
2001,65
2002,80
2003,88
2004,147.5
2005,95.9
2006,99.9
2007,63.8
2008,68.8
2009,94.6
2010,106.4
2011,66.6
2012,55.9
2013,102.2
2014,76.9
2015,57.4
2016,90
2017,166.7
2018,62.5
2019,108
2020,55.5
