UF,GO
Cidade,CACHOEIRA DE GOIAS
Nome Posto,CACHOEIRA DE GOIAS
Latitude,-16.669444444444444
Longitude,-50.649166666666666
Codigo,1650000
Qtd. Anos,48
Ano,Maxima
1973,105.8
1974,66.8
1975,60.8
1976,51
1977,87.4
1978,95
1979,60.2
1980,103.8
1981,103.2
1982,82.8
1983,80.1
1984,64
1985,140
1986,104.8
1987,59.2
1988,104.2
1989,93
1990,70.4
1991,129
1992,109
1993,82
1994,86
1995,103
1996,117.5
1997,112.5
1998,63.3
1999,70.8
2000,95.5
2001,93
2002,102.4
2003,60.5
2004,128.3
2005,112
2006,62
2007,74.1
2008,72.5
2009,86.2
2010,108.2
2011,125.5
2012,76
2013,70.3
2014,42
2015,41.7
2016,36.7
2017,55.4
2018,57.8
2019,45.2
2020,32.2
