UF,GO
Cidade,PARAUNA
Nome Posto,PARAUNA
Latitude,-16.948888888888888
Longitude,-50.44694444444444
Codigo,1750013
Qtd. Anos,42
Ano,Maxima
1978,71
1979,78
1980,87
1981,127
1982,105
1983,23
1984,104
1985,77.5
1986,95.1
1987,125
1988,140
1989,53
1990,57.3
1991,140.7
1992,103
1993,87.3
1994,38.9
1995,51.3
1996,128.3
1997,90.7
1998,76
1999,80
2000,68
2001,131.3
2002,68.3
2003,105.7
2004,95.2
2005,85.1
2006,70.3
2007,59.3
2008,100.4
2009,118.7
2010,74.1
2011,101.3
2012,126.2
2013,80.3
2014,77.7
2015,92.3
2016,86.6
2017,118.1
2018,106.2
2019,98.5
