UF,GO
Cidade,PORANGATU
Nome Posto,ENTRONCAMENTO SAO MIGUEL
Latitude,-13.102777777777778
Longitude,-49.20138888888889
Codigo,1349003
Qtd. Anos,46
Ano,Maxima
1974,79
1975,77
1976,83
1977,125
1978,125
1979,120.3
1980,82.6
1981,167.1
1982,100.2
1983,107.3
1984,76.5
1985,143.4
1986,66.2
1987,78.4
1988,89.3
1989,113.3
1990,49.3
1991,45
1992,148.3
1993,67.3
1994,75.4
1995,90.1
1996,64.3
1997,113.4
1998,92.5
1999,64.9
2000,83.9
2001,103.7
2002,72.1
2003,124.7
2004,92.7
2005,97.6
2006,66.9
2007,72.9
2008,85.5
2009,64.5
2010,97.8
2011,60
2012,115.2
2013,94.7
2014,96.5
2015,69.1
2016,97.5
2017,76.7
2018,110
2019,85.5
