UF,GO
Cidade,CABECEIRAS
Nome Posto,CABECEIRAS
Latitude,-15.800833333333333
Longitude,-46.92472222222222
Codigo,1546005
Qtd. Anos,47
Ano,Maxima
1973,81
1974,70
1975,87
1976,45
1977,75
1978,84
1979,132
1980,85
1981,75
1982,125
1983,100
1984,75
1985,85
1986,54
1987,92.2
1988,60
1989,95
1990,84.2
1991,84.1
1992,72.1
1993,35
1994,130
1995,137
1996,97
1997,80
1998,102.3
1999,125.3
2000,107.4
2001,67.7
2002,70.9
2003,75.3
2004,94.3
2005,90.5
2006,84.5
2007,68.8
2008,80.3
2009,87.4
2010,78.5
2011,116.8
2012,41
2013,96.6
2014,68.8
2015,93.6
2016,53.8
2017,93.7
2018,73.3
2019,53.7
