UF,GO
Cidade,GOIAS
Nome Posto,GOIAS
Latitude,-15.939444444444444
Longitude,-50.14055555555556
Codigo,1550003
Qtd. Anos,52
Ano,Maxima
1949,59
1950,62.4
1951,60.2
1952,65.4
1953,66.2
1954,102.4
1955,83.8
1956,75.8
1957,82.4
1958,98.4
1959,120
1960,77.4
1961,120
1962,95
1963,75
1964,89.4
1965,80.8
1966,72.2
1967,65.2
1968,72.4
1969,138.2
1970,75.6
1971,63.4
1972,82
1973,51
1974,44
1975,70
1976,77.5
1977,74.3
1978,78.6
1979,109.5
1980,131.6
1981,150.6
1982,119
1983,120.8
1984,190.2
1985,102.6
1986,89.2
1987,69.2
1988,81.8
1989,103.8
1990,88.2
1991,96.1
1992,169.7
1993,55
1994,80.3
1995,132.3
1996,122.2
1997,73
1998,71.5
2001,140.9
2002,52.8
