UF,GO
Cidade,URUANA
Nome Posto,URUANA
Latitude,-15.49611111111111
Longitude,-49.69083333333333
Codigo,1549009
Qtd. Anos,51
Ano,Maxima
1964,74.6
1965,86.2
1971,94.4
1972,94.2
1973,85.5
1974,59
1975,62
1976,54.6
1977,66.2
1978,65.8
1979,78.6
1980,103.8
1981,99.6
1982,56.8
1983,102.4
1984,47.2
1985,79.6
1986,80.3
1987,78.7
1988,82
1989,91.3
1990,88.7
1991,95
1992,142.5
1993,104
1994,132.1
1995,83
1996,83
1997,102.7
1998,75
1999,103.2
2000,77.2
2001,75
2002,78
2003,61.4
2004,80.1
2005,81.5
2006,78.8
2007,98.5
2008,71.3
2009,57.6
2010,125
2011,76.7
2012,57.2
2013,77.4
2014,95.2
2015,69.7
2016,91.5
2017,82.1
2018,65.8
2019,61
