UF,GO
Cidade,GOIANIA
Nome Posto,GOIANIA
Latitude,-16.67361111111111
Longitude,-49.263888888888886
Codigo,1649013
Qtd. Anos,71
Ano,Maxima
1949,68
1950,66
1951,104
1952,56.6
1953,45.6
1954,153.6
1955,102.7
1956,71.3
1957,65.6
1958,72.9
1959,75
1960,61.6
1961,57.4
1962,60.5
1963,57.8
1964,72
1965,107.4
1966,89.8
1967,57.5
1968,73.8
1969,124.2
1970,64.9
1971,91.4
1972,134
1973,67.4
1974,63.2
1975,67
1976,70
1977,68.7
1978,102.4
1979,79.1
1980,86.4
1981,70
1982,94
1983,80.2
1984,81.6
1985,76.1
1986,69.6
1987,61.2
1988,53.8
1989,60.7
1990,93.2
1991,53.5
1992,82.2
1993,62.9
1994,87.3
1995,99.1
1996,127.8
1997,99.9
1998,72.1
1999,92.7
2000,81.8
2001,68.2
2002,67.4
2003,95.2
2004,69.9
2005,136.6
2006,75.3
2007,51.3
2008,89
2009,107.6
2010,94.2
2011,82.3
2012,83.6
2013,92.7
2014,116.8
2015,70.2
2016,99.1
2017,41.8
2018,80.2
2019,67.3
