UF,GO
Cidade,PALMEIRAS DE GOIAS
Nome Posto,PALMEIRAS DE GOIAS
Latitude,-16.803055555555556
Longitude,-49.92861111111111
Codigo,1649010
Qtd. Anos,49
Ano,Maxima
1947,26.2
1948,85
1949,52.8
1974,58
1975,57.4
1976,83.4
1977,69.8
1978,58.2
1979,80.2
1980,67
1981,100
1982,78
1983,114.8
1984,85.3
1985,120.4
1986,86
1987,80.1
1988,56.2
1989,56.5
1990,14.3
1991,27.1
1992,45.1
1993,31.4
1994,109.4
1995,57.5
1996,84.8
1997,68.3
1998,72.3
1999,142.5
2000,76.5
2001,76.8
2002,50.7
2003,50.1
2004,65.5
2005,88.8
2006,110.3
2007,83.9
2008,63.5
2009,79.6
2010,54.3
2011,133.1
2012,112.8
2013,90.7
2014,57.5
2015,74
2016,53.3
2017,67
2018,125.5
2019,114.5
