UF,GO
Cidade,ITABERAI
Nome Posto,ITABERAI
Latitude,-16.0275
Longitude,-49.80027777777777
Codigo,1649007
Qtd. Anos,47
Ano,Maxima
1973,105
1974,105
1975,77
1976,63
1977,92
1978,65
1979,70
1980,120
1981,110
1982,56
1983,90
1984,100.2
1985,125.1
1986,105
1987,125
1988,59
1989,85
1990,73
1991,97.2
1992,85
1993,86
1994,221.6
1995,135
1996,117
1997,91.3
1998,57.8
1999,84.5
2000,97
2001,67.8
2002,67
2003,72
2004,78
2005,91.2
2006,58.7
2007,66.7
2008,92.3
2009,102
2010,75.6
2011,171
2012,80
2013,91.3
2014,139.2
2015,100
2016,60.1
2017,44.8
2018,42.3
2019,28.3
