UF,GO
Cidade,CHAPADAO DO CEU
Nome Posto,FAZENDA FORMOSO
Latitude,-18.406666666666666
Longitude,-52.526944444444446
Codigo,1852001
Qtd. Anos,38
Ano,Maxima
1983,104.3
1984,68
1985,110.2
1986,98.2
1987,69.4
1988,80.4
1989,132.8
1990,60
1991,80
1992,197
1993,85.3
1994,107
1995,45
1996,57.5
1997,120.7
1998,67.8
1999,58.1
2000,78.5
2001,110
2002,54.6
2003,88.2
2004,80.3
2005,91.2
2006,150.1
2007,75.9
2008,93.3
2009,95.3
2010,98.5
2011,73.3
2012,68.2
2013,118.3
2014,98.7
2015,101.9
2016,72.9
2017,148.5
2018,87.5
2019,126.3
2020,32.9
