UF,GO
Cidade,FAINA
Nome Posto,JEROAQUARA
Latitude,-15.373055555555556
Longitude,-50.5
Codigo,1550001
Qtd. Anos,47
Ano,Maxima
1973,98.1
1974,117.3
1975,121
1976,88.2
1977,69.1
1978,93.2
1979,97.2
1980,155
1981,98.3
1982,168
1983,124
1984,55.3
1985,163
1986,96.2
1987,94.2
1988,83.2
1989,98.2
1990,73.1
1991,110.4
1992,100.6
1993,69.2
1994,117.4
1995,94.2
1996,60.8
1997,108.4
1998,102.5
1999,100.8
2000,91.7
2001,132.8
2002,68
2003,79.2
2004,63.5
2005,174.7
2006,79.7
2007,100.9
2008,81.2
2009,106.3
2010,82.3
2011,103.4
2012,65.6
2013,111.5
2014,88.5
2015,105.1
2016,92.9
2017,120.7
2018,93.3
2019,74.1
