UF,GO
Cidade,BOM JARDIM DE GOIAS
Nome Posto,BOM JARDIM DE GOIAS
Latitude,-16.209166666666665
Longitude,-52.16861111111111
Codigo,1652000
Qtd. Anos,48
Ano,Maxima
1973,100
1974,99.2
1975,50
1976,75
1977,62.5
1978,70
1979,67.8
1980,169
1981,66.6
1982,108.6
1983,91
1984,89.4
1985,85.1
1986,90
1987,95
1988,93
1989,104.7
1990,89
1991,84.6
1992,71.5
1993,68.5
1994,80
1995,112.1
1996,88.8
1997,93.9
1998,49.7
1999,101.5
2000,80
2001,57.9
2002,106.2
2003,94.5
2004,93.7
2005,127.6
2006,79.3
2007,54.9
2008,98.9
2009,118.7
2010,98
2011,71
2012,143.4
2013,107.6
2014,111.2
2015,132.4
2016,62.9
2017,86.4
2018,78.6
2019,71.3
2020,70.2
