UF,GO
Cidade,PONTALINA
Nome Posto,PONTALINA
Latitude,-17.516944444444444
Longitude,-49.44166666666666
Codigo,1749004
Qtd. Anos,47
Ano,Maxima
1973,66
1974,116
1975,81
1976,71
1977,100.3
1978,113.6
1979,55.2
1980,117
1981,78.2
1982,70.2
1983,92.8
1984,83.6
1985,97.2
1986,77.4
1987,95.4
1988,43.8
1989,81.2
1990,67.8
1991,59.2
1992,65.8
1993,88.8
1994,72.6
1995,132.2
1996,72.6
1997,75.4
1998,60.1
1999,45.9
2000,115.5
2001,106.6
2002,71.2
2003,68.9
2004,106.6
2005,124.6
2006,64.8
2007,69.6
2008,66.4
2009,63.1
2010,62
2011,86
2012,53
2013,60
2014,139
2015,51.9
2016,19.9
2017,61.3
2018,19.4
2019,37.5
