UF,GO
Cidade,CRISTALINA
Nome Posto,UHE BATALHA RIO SAO BARTOLOMEU
Latitude,-16.5375
Longitude,-47.800555555555555
Codigo,1647001
Qtd. Anos,45
Ano,Maxima
1967,36.6
1968,55.6
1969,28.6
1970,27.4
1971,31.4
1972,15.8
1973,18.6
1974,113
1975,67
1976,52
1977,65
1978,56
1979,75
1980,55
1981,56
1982,65
1983,60
1984,70
1985,60
1986,50
1987,65
1988,91
1989,55
1990,75
1991,60
1992,80
1993,94
1994,104
1995,78.5
1996,54.2
1997,56
1998,56.7
1999,82.2
2000,54
2001,68
2002,52.2
2003,60.4
2004,67.3
2005,83.9
2006,61.5
2007,97.5
2008,89.7
2009,80.5
2010,82.1
2011,73.6
