UF,GO
Cidade,PORANGATU
Nome Posto,PORANGATU (DESCOBERTO)
Latitude,-13.409722222222223
Longitude,-49.156388888888884
Codigo,1349002
Qtd. Anos,47
Ano,Maxima
1974,84.3
1975,70.9
1976,75.2
1977,155.6
1978,169
1979,86
1980,117
1981,177.2
1982,84
1983,62.2
1984,54
1985,92
1986,68.1
1987,93
1988,78
1989,116
1990,67
1991,75.4
1992,90.4
1993,87.3
1994,62.3
1995,73.4
1996,87.4
1997,88.2
1998,62.3
1999,96.2
2000,76.1
2001,82.1
2002,97.3
2003,72.4
2004,242
2005,77.2
2006,70.4
2007,81.7
2008,78.9
2009,87.4
2010,90.2
2011,96.4
2012,80.4
2013,73.4
2014,57.4
2015,114.8
2016,121.6
2017,95.6
2018,84.3
2019,81.3
2020,37
