UF,GO
Cidade,ORIZONA
Nome Posto,UHE CORUMBA I RIO PIRACANJUBA
Latitude,-17.13138888888889
Longitude,-48.13722222222222
Codigo,1748005
Qtd. Anos,42
Ano,Maxima
1972,81
1973,140.2
1974,125
1975,56
1976,60.4
1977,99.4
1978,73.2
1979,85.2
1980,76.2
1981,50.2
1982,89
1983,68
1984,48.6
1985,82.6
1986,96.2
1987,82.2
1988,91
1989,98
1990,81.7
1991,91.6
1992,76.3
1993,134.8
1994,119.4
1995,71
1996,76
1997,85.4
1998,65.8
1999,89.4
2000,100.6
2001,61.9
2002,130.8
2003,109.2
2004,138.6
2005,92.9
2006,108.4
2007,167.5
2008,65.5
2009,57.3
2010,59.9
2011,82.7
2012,81.5
2013,64.8
