UF,GO
Cidade,ANICUNS
Nome Posto,ANICUNS
Latitude,-16.46527777777778
Longitude,-49.94277777777778
Codigo,1649000
Qtd. Anos,47
Ano,Maxima
1971,50.1
1972,44.3
1973,52.4
1974,41.2
1975,53.3
1976,75
1977,65.4
1978,90
1979,83
1980,91
1981,67.2
1982,53.3
1983,160.6
1984,75.2
1985,72.6
1986,75.2
1987,49
1988,41.7
1989,39.8
1990,25
1993,52.8
1994,34.8
1995,107.6
1996,94.1
1997,56.3
1998,102.3
1999,88.7
2000,102.8
2001,75.4
2002,66.1
2003,49.1
2004,106
2005,64.3
2006,59.2
2007,98
2008,53.3
2009,52.3
2010,95
2011,93.2
2012,88
2013,107.3
2014,117
2015,158
2016,62.3
2017,96
2018,91
2019,56.9
