UF,GO
Cidade,CAMPINACU
Nome Posto,CAMPINACU
Latitude,-13.79
Longitude,-48.566944444444445
Codigo,1348000
Qtd. Anos,52
Ano,Maxima
1968,94
1969,53.4
1970,94
1971,64.6
1972,58.5
1973,73.2
1974,78.2
1975,67.3
1976,85.3
1977,78.2
1978,85
1979,71
1980,68.3
1981,75.2
1982,57.8
1983,103.8
1984,117.4
1985,100
1986,63
1987,95.2
1988,65.3
1989,115
1990,117
1991,64.5
1992,142
1993,99.6
1994,159.5
1995,86
1996,84
1997,120
1998,94
1999,130.4
2000,145
2001,67.2
2002,79.6
2003,91.6
2004,74.7
2005,114.5
2006,64.8
2007,59.4
2008,100
2009,105.2
2010,97
2011,86
2012,72
2013,54
2014,54
2015,80
2016,70
2017,105.1
2018,135
2019,98.9
