UF,GO
Cidade,CRISTALINA
Nome Posto,UHE BATALHA CRISTALINA
Latitude,-16.78805555555556
Longitude,-47.60333333333333
Codigo,1647002
Qtd. Anos,44
Ano,Maxima
1973,100
1974,56
1975,48.3
1976,40
1977,48
1978,60.1
1979,18.1
1980,71.4
1981,68.6
1982,64.6
1983,78.2
1984,49
1985,62.4
1986,63.2
1987,187.4
1988,59.2
1989,83
1990,66.8
1991,78
1992,67.8
1993,137
1994,66.8
1995,80.2
1996,84
1997,106.8
1998,60.2
1999,76.6
2000,84
2001,75
2002,58.4
2003,64.5
2004,121
2005,103.1
2006,178.4
2007,112.5
2008,74.3
2009,63.5
2010,57.5
2011,115
2012,85.4
2013,72.3
2014,96.5
2015,36.8
2016,104.2
