UF,GO
Cidade,SAO MIGUEL DO ARAGUAIA
Nome Posto,RIO PINTADO (FAZ.PONTAL)
Latitude,-13.528611111111111
Longitude,-50.18805555555555
Codigo,1350001
Qtd. Anos,48
Ano,Maxima
1973,74.6
1974,92
1975,66
1976,114.4
1977,81.4
1978,110.4
1979,98
1980,107.8
1981,135.8
1982,116.8
1983,80.6
1984,96.2
1985,75.2
1986,88.2
1987,60
1988,100.4
1989,50.8
1990,72
1991,95
1992,75
1993,37
1994,73.2
1995,75.1
1996,114
1997,210
1998,72.5
1999,69.6
2000,80.7
2001,82.3
2002,101
2003,122.5
2004,117
2005,86.6
2006,82.5
2007,68
2008,69
2009,96
2010,86.5
2011,64.5
2012,82.5
2013,97
2014,71.7
2015,54.5
2016,146.5
2017,120
2018,67.2
2019,80
2020,82
