UF,GO
Cidade,NOVO PLANALTO
Nome Posto,NOVO PLANALTO
Latitude,-13.24472222222222
Longitude,-49.501666666666665
Codigo,1349001
Qtd. Anos,48
Ano,Maxima
1973,56
1974,55.6
1975,112.4
1976,147.2
1977,86.4
1978,90
1979,91.2
1980,140.1
1981,180
1982,69
1983,80
1984,79
1985,91.1
1986,65
1987,98
1988,101
1989,158.1
1990,110
1991,170
1992,132
1993,65.4
1994,108
1995,79.4
1996,84
1997,122.3
1998,100
1999,72.1
2000,95
2001,60.7
2002,62
2003,86
2004,107.1
2005,121.6
2006,134.8
2007,99
2008,54
2009,96.4
2010,60
2011,64.6
2012,77.5
2013,102.5
2014,108.9
2015,115.6
2016,61.2
2017,105.1
2018,85.7
2019,85.1
2020,98.4
