UF,GO
Cidade,BURITI ALEGRE
Nome Posto,CORUMBAZUL
Latitude,-18.2425
Longitude,-48.85861111111111
Codigo,1848007
Qtd. Anos,48
Ano,Maxima
1972,81
1973,56
1974,78
1975,53
1976,64.3
1977,55
1978,59.4
1979,92.4
1980,65.2
1981,51
1982,89.2
1983,87.2
1984,64.4
1985,73
1986,90
1987,87
1988,113
1989,72
1990,51
1991,50
1992,34.5
1993,58.5
1994,70
1995,54.5
1996,58.2
1997,90.8
1998,84.3
1999,41.9
2000,78.8
2001,89.6
2002,61.7
2003,69.1
2004,73.1
2005,91.9
2006,63.3
2007,61.1
2008,129.7
2009,92.6
2010,18
2011,32.2
2012,99
2013,49.5
2014,70.5
2015,73.7
2016,98
2017,106
2018,105.2
2019,95
