UF,GO
Cidade,APORE
Nome Posto,CAMPO ALEGRE
Latitude,-18.517777777777777
Longitude,-52.09277777777778
Codigo,1851001
Qtd. Anos,49
Ano,Maxima
1972,66.3
1973,60.9
1974,70.2
1975,62.3
1976,131.8
1977,68.4
1978,82.6
1979,78.8
1980,60.4
1981,96
1982,45.8
1983,70
1984,101
1985,110
1986,90.6
1987,72.8
1988,59.6
1989,94.6
1990,78.6
1991,127.5
1992,95
1993,92
1994,41
1995,88
1996,130.3
1997,58.7
1998,87.1
1999,80
2000,76.3
2001,43.7
2002,78.3
2003,123.6
2004,82
2005,81.3
2006,128.7
2007,94.3
2008,61.2
2009,96.2
2010,96.1
2011,68.2
2012,100.5
2013,78.6
2014,138.2
2015,96.2
2016,152.3
2017,105.2
2018,114.5
2019,100.5
2020,58.4
