UF,GO
Cidade,ITAJA
Nome Posto,CANASTRA
Latitude,-19.1
Longitude,-51.14944444444444
Codigo,1951000
Qtd. Anos,48
Ano,Maxima
1972,65
1973,94
1974,120
1975,70
1976,81
1977,79
1978,100
1979,79
1980,96
1981,60.4
1982,88.4
1983,53.6
1984,93.2
1985,115.1
1986,132.2
1987,84.4
1988,133.2
1989,90
1990,20
1992,90.3
1993,77.7
1994,65.8
1995,86.1
1996,67.7
1997,96.6
1998,108.2
1999,67.9
2000,59.8
2001,100
2002,58.3
2003,77.7
2004,50
2005,91.3
2006,100.1
2007,52
2008,151.1
2009,69.7
2010,67.4
2011,71.1
2012,81.1
2013,36.9
2014,137.9
2015,86
2016,51
2017,69.5
2018,118.7
2019,120.2
2020,31.7
