UF,GO
Cidade,ARUANA 
Nome Posto,ARUANA
Latitude,-14.9275
Longitude,-51.08277777777778
Codigo,1451000
Qtd. Anos,49
Ano,Maxima
1970,39.8
1971,102.6
1972,70.5
1973,75.2
1974,65
1975,70.2
1976,99.8
1977,129.5
1978,73.2
1979,84.1
1980,155.2
1981,86.7
1982,145.6
1983,88.6
1984,62.5
1985,83.8
1986,134.7
1987,104.5
1988,41.6
1989,97.2
1990,84
1991,144.3
1992,150
1993,55.3
1994,79.2
1995,82.8
1996,51.4
1997,122.5
1998,72.5
1999,97.8
2000,154.4
2001,78.4
2002,92
2003,80
2004,97.2
2005,95.3
2006,46.8
2007,117.9
2008,57.1
2009,117.8
2010,78
2011,33.9
2013,99.4
2014,84.8
2015,83.5
2016,148.7
2017,104.8
2018,114.7
2019,91.8
