UF,GO
Cidade,GOIATUBA
Nome Posto,FAZENDA ALIANCA
Latitude,-18.104722222222225
Longitude,-50.03138888888889
Codigo,1850001
Qtd. Anos,49
Ano,Maxima
1971,114.8
1972,104.8
1973,80.4
1974,96.2
1975,64.2
1976,105.2
1977,72.4
1978,136.4
1979,90.4
1980,71.2
1981,79.2
1982,76.2
1983,79.6
1984,76.8
1985,87.2
1986,61.2
1987,106.2
1988,73.8
1989,90.4
1990,79.4
1991,112.8
1992,72.2
1993,79.6
1994,80.6
1995,75.5
1996,117.6
1997,87.7
1998,61.6
1999,73.5
2000,98.3
2001,63.4
2002,53.2
2003,71.9
2004,74.8
2005,96.5
2006,70
2007,135.5
2008,97
2009,145.2
2010,95.4
2011,67.1
2012,54.3
2013,98
2014,80.8
2015,73.1
2016,76.2
2017,84.2
2018,77.5
2019,62.1
