UF,GO
Cidade,SAO DOMINGOS
Nome Posto,SAO DOMINGOS
Latitude,-13.397499999999999
Longitude,-46.31583333333333
Codigo,1346000
Qtd. Anos,51
Ano,Maxima
1969,49.8
1970,83.6
1971,61
1972,55.6
1973,72.2
1974,68.2
1975,71
1976,48.8
1977,69.4
1978,47.3
1979,67.6
1980,80.4
1981,96.6
1982,62.6
1983,52
1984,60
1985,61
1986,69
1987,101.6
1988,74.8
1989,60.6
1990,95
1991,52.9
1992,83.6
1993,66.3
1994,72.2
1995,81
1996,45
1997,55.3
1998,60.6
1999,115.8
2000,80.9
2001,51
2002,53
2003,60.1
2004,58.5
2005,58.2
2006,57.4
2007,57.8
2008,76
2009,68.4
2010,40
2011,60.8
2012,75
2013,69.7
2014,59.5
2015,56.7
2016,52.5
2017,106.5
2018,95.5
2019,82.5
