UF,GO
Cidade,CAVALCANTE
Nome Posto,CAVALCANTE
Latitude,-13.796944444444444
Longitude,-47.461666666666666
Codigo,1347000
Qtd. Anos,41
Ano,Maxima
1969,141
1970,72
1971,72
1972,92.6
1973,64.2
1974,92
1975,50
1976,71
1977,94
1978,124
1979,90
1980,100
1981,95
1982,92.3
1983,96.2
1984,70
1985,96.2
1986,67.3
1987,83.4
1988,96
1989,115
1990,95
1991,77
1992,80
1993,97
1994,90
1995,53
1996,127
1997,94
1998,137.2
1999,85
2000,96
2001,74
2002,76.4
2003,56.9
2004,75.2
2005,72.3
2006,62.3
2007,108.3
2008,125.8
2009,67.9
