UF,GO
Cidade,SAO JOAO D'ALIANCA
Nome Posto,SAO JOAO D'ALIANCA
Latitude,-14.70722222222222
Longitude,-47.52361111111111
Codigo,1447002
Qtd. Anos,52
Ano,Maxima
1968,17.8
1969,112
1970,78
1971,53.6
1972,72.6
1973,63
1974,144
1975,140.2
1976,148.6
1977,75.2
1978,83
1979,65.7
1980,100
1981,95
1982,87
1983,81.2
1984,71
1985,66.6
1986,45.2
1987,42.2
1988,93.3
1989,73
1990,102.2
1991,103.2
1992,77.2
1993,49.1
1994,65.1
1995,52.4
1996,61.2
1997,96
1998,78.4
1999,89
2000,54.1
2001,70.4
2002,53.4
2003,50
2004,66.3
2005,91.2
2006,44.3
2007,80.1
2008,148.2
2009,96.2
2010,67
2011,130
2012,122.2
2013,90
2014,75
2015,55.2
2016,57
2017,68.3
2018,146
2019,92.4
