UF,GO
Cidade,ALEXANIA
Nome Posto,PONTE ANAPOLIS - BRASILIA
Latitude,-16.143055555555556
Longitude,-48.6
Codigo,1648001
Qtd. Anos,53
Ano,Maxima
1967,50.3
1968,98
1969,115
1970,92.2
1971,72
1972,89
1973,60
1974,48.2
1975,70.4
1976,72
1977,70
1978,78
1979,71.2
1980,72.2
1981,79.3
1982,83.3
1983,113.2
1984,83.2
1985,73.3
1986,75.1
1987,75.2
1988,82
1989,72.3
1990,76.3
1991,84.2
1992,87
1993,74
1994,72
1995,80
1996,67.4
1997,63
1998,70
1999,70.3
2000,100.4
2001,63.1
2002,86.7
2003,90.3
2004,95
2005,90
2006,66.8
2007,86.6
2008,58.8
2009,70.3
2010,104.1
2011,45.8
2012,57.1
2013,119.7
2014,78.4
2015,69.1
2016,76.2
2017,94.5
2018,57.9
2019,51
