UF,GO
Cidade,PILAR DE GOIAS
Nome Posto,PILAR DE GOIAS
Latitude,-14.761111111111111
Longitude,-49.58027777777778
Codigo,1449000
Qtd. Anos,47
Ano,Maxima
1973,143.9
1974,95
1975,50.7
1976,75
1977,107
1978,100.1
1979,125.6
1980,147.8
1981,150
1982,100
1983,100.9
1984,80
1985,75
1986,76
1987,95
1988,100
1989,125
1990,75
1991,88
1992,100.6
1993,127.2
1994,132
1995,112
1996,100.4
1997,145
1998,106.6
1999,146.8
2000,129.6
2001,85
2002,98
2003,94.7
2004,95
2005,113.6
2006,66
2007,65.2
2008,111
2009,105
2010,76.4
2011,113
2012,92.4
2013,62
2014,52.2
2015,61.6
2016,90.2
2017,84
2018,98.3
2019,74.9
