UF,GO
Cidade,CERES
Nome Posto,UHE SERRA DA MESA CERES
Latitude,-15.275277777777779
Longitude,-49.551944444444445
Codigo,1549000
Qtd. Anos,49
Ano,Maxima
1964,51.3
1965,70.6
1966,17
1971,44.4
1972,132.4
1973,70
1974,77.6
1975,75
1976,62.2
1977,49
1978,57
1979,90.2
1980,148
1981,52
1982,87
1983,102
1984,82.3
1985,67.4
1986,51.2
1987,78.6
1988,71.2
1989,63.5
1990,68.3
1991,134.6
1992,89.3
1993,84.3
1994,83.4
1995,90.1
1996,88.4
1997,118.2
1998,70.6
1999,62.5
2000,68.4
2001,98
2002,79.3
2003,66.1
2004,90.4
2005,96.5
2006,59.7
2007,64.1
2008,78.2
2009,64.5
2010,68.5
2011,81
2012,113.9
2013,91.3
2014,94.5
2015,69
2016,111.3
