UF,GO
Cidade,SANTA TEREZINHA DE GOIAS
Nome Posto,SANTA TEREZINHA DE GOIAS
Latitude,-14.43361111111111
Longitude,-49.71666666666667
Codigo,1449002
Qtd. Anos,47
Ano,Maxima
1973,54
1974,58.2
1975,78.2
1976,80
1977,75.2
1978,71
1979,125.2
1980,160
1981,98
1982,165
1983,86.2
1984,50
1985,72
1986,80.2
1987,69
1988,122
1989,92
1990,63
1991,126
1992,96
1993,111
1994,104
1995,102.3
1996,84
1997,168.4
1998,108.5
1999,74.6
2000,136.8
2001,114.9
2002,143.2
2003,62.5
2004,101
2005,81.1
2006,117.5
2007,124.7
2008,147.7
2009,75.5
2010,57.7
2011,100
2012,74.6
2013,112
2014,96
2015,58.7
2016,135.5
2017,68.6
2018,148.6
2019,96.1
