UF,GO
Cidade,CRISTIANOPOLIS
Nome Posto,CRISTIANOPOLIS
Latitude,-17.198055555555555
Longitude,-48.715
Codigo,1748000
Qtd. Anos,44
Ano,Maxima
1973,70.6
1974,52.2
1975,64.4
1976,85.6
1977,66.2
1978,59
1979,80.4
1980,62.2
1981,70.6
1982,71.4
1983,67
1984,50
1985,93
1986,85.2
1987,71
1988,62.4
1989,9.9
1990,10
1991,207
1992,90.3
1993,92.2
1994,70
1995,77.7
1996,110.4
1997,132.2
1998,81.2
1999,103.4
2000,94.9
2001,77.9
2002,72.5
2003,65.1
2004,87.5
2005,64.7
2006,88.5
2007,95.6
2008,93.9
2009,77.9
2010,49.1
2011,82.1
2012,102
2013,86
2014,98.8
2015,111.7
2016,50.8
