UF,GO
Cidade,ITAPIRAPUA
Nome Posto,ITAPIRAPUA
Latitude,-15.815833333333334
Longitude,-50.60861111111111
Codigo,1550000
Qtd. Anos,47
Ano,Maxima
1973,77.8
1974,83.3
1975,50
1976,64.2
1977,125.4
1978,62.4
1979,90
1980,148.4
1981,109.8
1982,87.6
1983,125
1984,82.6
1985,90.8
1986,75
1987,95.3
1988,82.7
1989,125
1990,99.2
1991,84.1
1992,75.2
1993,97.6
1994,87.1
1995,110
1996,65.5
1997,134.5
1998,130
1999,83.6
2000,76
2001,73
2002,92.4
2003,87
2004,62.6
2005,120.1
2006,135.1
2007,77.2
2008,149.4
2009,112.7
2010,63.6
2011,95.5
2012,70
2013,104.5
2014,65
2015,134.1
2016,106.1
2017,104.4
2018,66.5
2019,44.2
