UF,GO
Cidade,QUIRINOPOLIS
Nome Posto,QUIRINOPOLIS
Latitude,-18.50111111111111
Longitude,-50.52194444444444
Codigo,1850002
Qtd. Anos,48
Ano,Maxima
1971,54
1972,75
1973,74
1974,133
1975,90.2
1976,93
1977,100
1978,84
1979,150
1980,57
1981,80.5
1982,125
1983,100
1984,100
1985,73
1986,80.4
1987,77
1988,65.3
1989,85.4
1990,53
1993,35.6
1994,59.4
1995,94.1
1996,61.7
1997,81.3
1998,67.5
1999,50.3
2000,44.3
2001,87.2
2002,93.5
2003,51.7
2004,53.5
2005,52
2006,51
2007,43
2008,51
2009,62.3
2010,55.5
2011,58.3
2012,49.2
2013,50.5
2014,52.5
2015,46.6
2016,43.2
2017,52.5
2018,65.5
2019,63.5
2020,33.5
