UF,GO
Cidade,INHUMAS
Nome Posto,INHUMAS
Latitude,-16.346666666666664
Longitude,-49.495
Codigo,1649006
Qtd. Anos,73
Ano,Maxima
1947,36.2
1948,91.2
1949,30.1
1950,90.7
1951,75.8
1952,78
1953,63.3
1954,60.8
1955,143.3
1956,40
1957,55.3
1958,70.1
1959,81.5
1960,77
1961,75.5
1962,41.7
1963,42
1964,78
1965,83.6
1966,85.2
1967,62.8
1968,64.8
1969,135.8
1970,88.2
1971,75
1972,140
1973,91.4
1974,55.8
1975,59.6
1976,58.6
1977,59.3
1978,99.4
1979,130.2
1980,97.8
1981,89.7
1982,91.8
1983,62.2
1984,52.2
1985,56
1986,64.6
1987,71.2
1988,91.2
1989,65.6
1990,63.4
1991,78.7
1992,49.3
1993,40.7
1994,45.9
1995,50.4
1996,78.6
1997,82
1998,66.1
1999,62.7
2000,84.1
2001,90.8
2002,85.4
2003,67.3
2004,65.7
2005,52.1
2006,60.5
2007,46.3
2008,83.4
2009,74.4
2010,45.9
2011,69.8
2012,80.1
2013,59
2014,73.9
2015,77.1
2016,57.2
2017,62
2018,61.5
2019,47.7
