UF,GO
Cidade,ARAGARCAS
Nome Posto,PERES
Latitude,-15.889999999999999
Longitude,-51.853611111111114
Codigo,1551002
Qtd. Anos,49
Ano,Maxima
1971,40
1972,80.4
1973,93.8
1974,121.3
1975,70.2
1976,56.2
1977,90.2
1978,95
1979,48
1980,23
1981,30
1982,52
1983,88
1984,100
1985,82
1986,83.6
1987,74
1988,100.8
1989,70.6
1990,58.2
1991,102
1992,82.4
1993,112
1994,105.6
1995,100.4
1996,121.4
1997,120.2
1998,144.2
1999,144.7
2000,95.2
2001,54.6
2002,81.6
2003,95.5
2004,78.2
2005,82.8
2006,75.2
2007,119.4
2008,126.6
2009,81.2
2010,48.6
2011,82.7
2012,73.4
2013,127.8
2014,79.7
2015,77.5
2016,67.6
2017,135.7
2018,113.5
2019,76.5
