UF,GO
Cidade,JATAI
Nome Posto,POMBAL
Latitude,-18.093055555555555
Longitude,-51.496944444444445
Codigo,1851004
Qtd. Anos,45
Ano,Maxima
1976,75
1977,50.3
1978,69
1979,90
1980,66.2
1981,85.4
1982,90.4
1983,80.8
1984,94.4
1985,103.8
1986,108.8
1987,68.3
1988,70
1989,96.8
1990,116
1991,49.3
1992,103.4
1993,93.1
1994,114.3
1995,104.4
1996,84.2
1997,80
1998,89.6
1999,70.5
2000,99.1
2001,67.7
2002,70
2003,85.4
2004,74.8
2005,75.3
2006,103
2007,66
2008,88.4
2009,65.9
2010,85.6
2011,147
2012,118
2013,74.7
2014,73
2015,58.7
2016,85.5
2017,82.6
2018,93.4
2019,82.3
2020,57.5
