UF,GO
Cidade,FLORES DE GOIAS
Nome Posto,FLORES DE GOIAS
Latitude,-14.45
Longitude,-47.045833333333334
Codigo,1447001
Qtd. Anos,40
Ano,Maxima
1969,108
1970,62.4
1971,86.4
1972,144
1973,60.8
1974,69.8
1975,75.1
1976,94
1977,70
1978,87
1979,77.6
1980,70.7
1981,78
1982,75
1983,81.6
1984,70
1985,59.2
1986,82.2
1987,53.2
1988,76.4
1989,59.4
1990,46.2
1991,74
1992,95.6
1993,72
1994,93.4
1995,65.4
1996,47.2
1997,109.4
1998,52.4
1999,88.2
2000,61.2
2001,63.8
2002,65.2
2003,62.8
2004,67.8
2005,120.8
2006,71.7
2007,64.6
2008,71
