UF,GO
Cidade,GOIANESIA
Nome Posto,GOIANESIA
Latitude,-15.329166666666666
Longitude,-49.12166666666667
Codigo,1549001
Qtd. Anos,53
Ano,Maxima
1964,44.7
1965,58
1969,90
1970,57
1971,97.6
1972,86.4
1973,82
1974,83
1975,36
1976,75
1977,70
1978,94
1979,100.2
1980,110
1981,66
1982,78.8
1983,93
1984,82
1985,117.2
1986,32.4
1987,89.3
1988,77.5
1989,49.2
1990,79
1991,63.1
1992,71
1993,79.7
1994,86.1
1995,90
1996,69.2
1997,92
1998,86
1999,77.3
2000,97
2001,85
2002,82.7
2003,75.9
2004,53.6
2005,92.5
2006,82.5
2007,58.1
2008,75.2
2009,57.8
2010,145.2
2011,78.9
2012,55.5
2013,56.8
2014,71.2
2015,78.1
2016,82.7
2017,77.8
2018,91.5
2019,72.1
