UF,GO
Cidade,PARAUNA
Nome Posto,FAZENDA NOVA DO TURVO
Latitude,-17.079166666666666
Longitude,-50.28944444444444
Codigo,1750001
Qtd. Anos,49
Ano,Maxima
1971,32
1972,80.7
1973,68
1974,70.3
1975,59.2
1976,66.6
1977,85.6
1978,82.1
1979,68.2
1980,110.2
1981,130.4
1982,75.2
1983,133.1
1984,119.2
1985,75.4
1986,118
1987,46.4
1988,25
1989,65.4
1990,75.3
1991,72.3
1992,76.4
1993,37.2
1994,89
1995,76.5
1996,103
1997,85.8
1998,58.1
1999,70.5
2000,110
2001,53.7
2002,90
2003,130
2004,72.1
2005,124.6
2006,87.6
2007,128.3
2008,100.1
2009,44
2010,124.7
2011,83.5
2012,112.1
2013,66.4
2014,107.2
2015,70.6
2016,121.5
2017,71.2
2018,81
2019,61.1
