UF,GO
Cidade,PIRANHAS
Nome Posto,PIRANHAS
Latitude,-16.423333333333336
Longitude,-51.82277777777778
Codigo,1651002
Qtd. Anos,48
Ano,Maxima
1973,110
1974,159.8
1975,62
1976,80.4
1977,170.2
1978,152
1979,70.3
1980,180
1981,100.8
1982,150.8
1983,208
1984,92.2
1985,126
1986,78.2
1987,79.2
1988,78.2
1989,75.3
1990,76.3
1991,65.4
1992,150.1
1993,121.4
1994,82.2
1995,125.6
1996,110.4
1997,92
1998,88.5
1999,94
2000,74.2
2001,76.3
2002,99.7
2003,86.4
2004,117.6
2005,102.3
2006,108.7
2007,101.2
2008,130
2009,102
2010,85
2011,88.3
2012,88.6
2013,82.4
2014,81
2015,84.2
2016,49.2
2017,76.7
2018,72
2019,75.2
2020,42.7
