UF,GO
Cidade,MOZARLANDIA
Nome Posto,MOZARLANDIA (CHAC. FOGUEIRA)
Latitude,-14.741388888888888
Longitude,-50.577222222222225
Codigo,1450001
Qtd. Anos,47
Ano,Maxima
1973,100
1974,90.8
1975,68.8
1976,103
1977,83.6
1978,122.8
1979,84.8
1980,188.6
1981,110.4
1982,181.4
1983,125
1984,143.4
1985,86.4
1986,76.4
1987,66.4
1988,94.2
1989,86.2
1990,82.4
1991,61.6
1992,88.8
1993,96.8
1994,68.6
1995,102.4
1996,83.4
1997,84.8
1998,67.6
1999,87.6
2000,57.2
2001,104.4
2002,90.2
2003,102.6
2004,109.8
2005,103.6
2006,90.6
2007,102.6
2008,76.8
2009,141.8
2010,110.2
2011,111.8
2012,105.6
2013,116.8
2014,89.1
2015,66.5
2016,145
2017,89
2018,88
2019,122
