UF,GO
Cidade,SAO MIGUEL DO ARAGUAIA
Nome Posto,FAZENDA PIRATININGA
Latitude,-12.820555555555556
Longitude,-50.336111111111116
Codigo,1250000
Qtd. Anos,46
Ano,Maxima
1973,63
1974,69
1975,89
1976,75
1977,91.1
1978,101
1979,66
1980,109
1981,82
1982,101
1983,110
1984,100.1
1985,94.7
1986,55.3
1987,62.4
1988,110.3
1989,64.8
1990,38.2
1993,15.7
1994,58.7
1995,99.5
1996,71.1
1997,229.2
1998,57.3
1999,105.5
2000,71.1
2001,93.1
2002,116.3
2003,74.2
2004,166.3
2005,101.8
2006,105.5
2007,113
2008,89
2009,105.6
2010,102.2
2011,100
2012,83.5
2013,95
2014,85.9
2015,57.2
2016,50.2
2017,207.2
2018,76.8
2019,84.9
2020,100.3
