UF,GO
Cidade,CAMPOS BELOS
Nome Posto,CAMPOS BELOS
Latitude,-13.036666666666667
Longitude,-46.776944444444446
Codigo,1346004
Qtd. Anos,47
Ano,Maxima
1973,3.8
1974,66.2
1975,66.6
1976,89.4
1977,75
1978,100.2
1979,135.8
1980,89.4
1981,78.6
1982,95.6
1983,102.6
1984,87.2
1985,101
1986,81.6
1987,102.6
1988,100.8
1989,105
1990,53.4
1991,45.2
1992,75.6
1993,56
1994,80.8
1995,57.8
1996,93
1997,70.1
1998,87
1999,93.2
2000,70.4
2001,72.8
2002,90.8
2003,58.6
2004,85.6
2005,81.2
2006,86.3
2007,68.4
2008,77
2009,83.1
2010,68.9
2011,61.2
2012,80.2
2013,136.1
2014,82
2015,45.6
2016,230.6
2017,81.9
2018,65
2019,75.3
