UF,GO
Cidade,CORREGO DO OURO
Nome Posto,CORREGO DO OURO
Latitude,-16.298333333333336
Longitude,-50.556666666666665
Codigo,1650001
Qtd. Anos,48
Ano,Maxima
1973,90
1974,125
1975,45.3
1976,75
1977,84
1978,97
1979,150
1980,62.1
1981,125.2
1982,68.4
1983,96.8
1984,97.6
1985,79
1986,124.4
1987,100
1988,64.8
1989,86
1990,63.2
1991,91.8
1992,158
1993,96
1994,129.7
1995,96.9
1996,133.4
1997,143
1998,65.8
1999,153.3
2000,135.5
2001,100.3
2002,84.1
2003,81.5
2004,164.4
2005,109.1
2006,102.1
2007,80.1
2008,94.9
2009,121.7
2010,131.3
2011,86.6
2012,61.5
2013,82.7
2014,74.7
2015,191.2
2016,87.4
2017,80.5
2018,91.7
2019,94.6
2020,45.2
