UF,GO
Cidade,NIQUELANDIA
Nome Posto,NIQUELANDIA
Latitude,-14.475
Longitude,-48.458333333333336
Codigo,1448001
Qtd. Anos,51
Ano,Maxima
1969,92.4
1970,67.1
1971,73.4
1972,100.2
1973,60.4
1974,60.2
1975,96.4
1976,97
1977,85
1978,83
1979,123
1980,109.4
1981,122
1982,71
1983,118.6
1984,101.9
1985,114.4
1986,79.6
1987,77
1988,70.2
1989,89.6
1990,86
1991,75
1992,74.4
1993,72.6
1994,72
1995,45
1996,66.8
1997,96.2
1998,66.8
1999,114.4
2000,57
2001,70.3
2002,54.4
2003,86.9
2004,64.8
2005,64.8
2006,100
2007,95
2008,100.5
2009,85
2010,90.2
2011,80.2
2012,55
2013,99
2014,86
2015,65
2016,70
2017,67.2
2018,70.5
2019,80.1
